Gol,Gol Beklentisi (xG),Toplam Şut,İsabetli Şut,Pozisyonu Gole Çevirme %,Başarılı Top Sürme,Başarılı Top Sürme %,Yaratılan Büyük Şans,Kilit Pas,Rakip Gol Bölgesinde İsabetli Pas,Zeminde Kazanılan İkili Mücadele,Kazanılan Hava Topu Mücadelesi,Kazanılan Toplam İkili Mücadele %,Kendisine Yapılan Faul,player.name,player.slug,team.name,team.shortName
1,0.68,14,6,7.14,5,83.33,3,26,93,33,35,58.12,10,Faouzi Ghoulam,faouzi-ghoulam,Hatayspor,
1,0.68,14,1,7.14,37,64.91,5,30,275,140,23,56.21,26,Münir Levent Mercan,munir-levent-mercan,Fatih Karagümrük,
1,3.29,32,10,3.13,18,51.43,7,37,207,56,8,39.75,17,Rachid Ghezzal,rachid-ghezzal,Beşiktaş,
1,0.91,21,3,4.76,41,45.56,8,28,223,171,19,54.91,70,Mustafa Eskihellaç,mustafa-eskihellac,Gaziantep FK,
1,1.73,28,6,3.57,4,66.67,0,5,118,92,61,55.23,22,Veysel Sarı,veysel-sari,Antalyaspor,
1,1.1,24,4,4.17,7,38.89,4,25,221,66,17,46.37,9,Güray Vural,guray-vural,Antalyaspor,
1,0.97,11,2,9.09,8,47.06,5,20,132,42,14,50.0,14,Mert Müldür,mert-muldur,Fenerbahçe,
1,1.18,11,3,9.09,9,60.0,2,17,139,41,16,55.88,6,Erdem Özgenç,erdem-ozgenc,Pendikspor,
1,1.15,16,5,6.25,33,56.9,5,32,239,82,8,42.65,24,Fredrik Midtsjø,fredrik-midtsjo,Pendikspor,
1,1.12,16,4,6.25,11,61.11,4,16,169,45,13,43.94,13,Görkem Sağlam,gorkem-saglam,Hatayspor,
1,3.97,43,10,2.33,12,57.14,3,27,185,60,17,44.51,20,Alexandru Cicâldău,alexandru-cicaldau,Konyaspor,
1,0.63,11,3,9.09,23,58.97,4,27,211,77,14,54.17,28,Léo Dubois,leo-dubois,Başakşehir FK,
1,0.96,14,4,7.14,18,81.82,7,39,200,120,31,60.89,28,Nuno Sequeira,nuno-sequeira,Pendikspor,
1,0.55,8,3,12.5,1,50.0,3,5,39,14,40,50.94,6,Aaron Appindangoyé,aaron-appindangoye,Sivasspor,
1,1.4,9,3,11.11,7,70.0,1,10,104,49,14,55.26,14,Nazım Sangaré,nazim-sangare,Fatih Karagümrük,
1,2.51,21,8,4.76,29,61.7,0,15,77,69,0,52.67,27,Emre Mor,emre-mor,Fatih Karagümrük,
1,0.96,20,3,5.0,4,44.44,4,13,110,46,4,53.19,23,Endri Çekiçi,endri-cekici,Pendikspor,
1,1.82,30,12,3.33,52,71.23,1,12,117,77,4,55.1,16,Anastasios Chatzigiovanis,anastasios-chatzigiovanis,MKE Ankaragücü,
1,0.64,18,3,5.56,28,73.68,2,7,182,108,26,54.47,39,Batista Mendy,batista-mendy,Trabzonspor,
1,1.05,18,2,5.56,7,70.0,0,9,135,69,23,49.2,10,Youssef Aït Bennasser,youssef-ait-bennasser,Yılport Samsunspor,
1,1.26,24,4,4.17,20,44.44,2,34,108,47,5,42.28,13,Zymer Bytyqi,zymer-bytyqi,Antalyaspor,
1,3.22,33,8,3.03,15,60.0,3,18,174,118,27,59.43,36,Muammer Sarıkaya,muammer-sarikaya,Çaykur Rizespor,
1,2.2,21,5,4.76,7,63.64,1,13,92,28,14,42.0,9,Danijel Aleksić,danijel-aleksic,Başakşehir FK,
1,0.41,9,3,11.11,14,58.33,0,10,91,61,15,53.52,20,Benjamin Stambouli,benjamin-stambouli,Adana Demirspor,
1,1.77,24,6,4.17,28,71.79,4,19,244,83,18,48.79,21,Berkay Özcan,berkay-ozcan,Başakşehir FK,
1,0.72,17,6,5.88,7,63.64,3,35,146,58,4,43.97,11,Casper Højer,casper-hojer,Çaykur Rizespor,
1,0.58,10,2,10.0,0,0.0,1,6,80,14,12,48.15,3,Soner Aydoğdu,soner-aydogdu,Yılport Samsunspor,
